alpha,Year,Sl No.,University,City,State,Admission rate,Average SAT equivalent score of students admitted,Avg Cost of Attendance(academic year instituion),in-state tuition and fee,out-state tuition and fee,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",Number of undergraduate student,Number of graduate student
645,2011,88,University of Maryland-Baltimore County,Baltimore,MD,0.6081,1209,21105,9467,19870,0.5736,10210,2626
646,2012,88,University of Maryland-Baltimore County,Baltimore,MD,0.6035,1222,21629,9764,20825,0.6054,10573,2684
647,2013,88,University of Maryland-Baltimore County,Baltimore,MD,0.6315,1209,22024,10068,21642,0.6458,10953,2772
648,2014,88,University of Maryland-Baltimore County,Baltimore,MD,0.5961,1213,21941,10384,22682,0.6109,11136,2600
649,2015,88,University of Maryland-Baltimore County,Baltimore,MD,0.5942,1209,22873,11006,23770,0.6327,11379,11379
650,2016,89,University of Maryland-Baltimore County,Baltimore,MD,0.5683,1156,23818,11264,24492,0.6442,11025,2498
651,2008,34,University of Maryland-College Park,College Park,MD,0.3881,1275,17561,8005,23075,0.8176,25857,10410
652,2009,34,University of Maryland-College Park,College Park,MD,0.419,1295,20831,8053,23990,0.8168,26475,10653
653,2010,34,University of Maryland-College Park,College Park,MD,0.4464,1290,21189,8416,24831,0.8146,26542,10719
654,2011,34,University of Maryland-College Park,College Park,MD,0.448,1290,21785,8655,26026,0.8182,26922,10805
655,2012,34,University of Maryland-College Park,College Park,MD,0.4694,1300,22214,8908,27287,0.8202,26826,10710
656,2013,34,University of Maryland-College Park,College Park,MD,0.4699,1310,22933,9162,28348,0.8406,26538,10614
657,2014,34,University of Maryland-College Park,College Park,MD,0.4793,1315,23258,9427,29720,0.8475,26658,10554
658,2015,34,University of Maryland-College Park,College Park,MD,0.4488,1315,23889,9996,31144,0.8635,27056,27056
659,2016,35,University of Maryland-College Park,College Park,MD,0.4806,1281,24041,10181,32045,0.8641,27864,10611
660,2008,56,University of Massachusetts-Amherst,Amherst,MA,0.643,1151,42620,10232,21729,0.6819,20114,5820
661,2009,56,University of Massachusetts-Amherst,Amherst,MA,0.669,1169,20931,11917,23414,0.6544,20539,6143
662,2010,56,University of Massachusetts-Amherst,Amherst,MA,0.6767,1161,22797,11917,23813,0.682,20873,6196
663,2011,56,University of Massachusetts-Amherst,Amherst,MA,0.6563,1185,23131,12797,25585,0.6716,21373,6272
664,2012,56,University of Massachusetts-Amherst,Amherst,MA,0.6262,1189,24709,13415,26830,0.7022,21812,6308
665,2013,56,University of Massachusetts-Amherst,Amherst,MA,0.6294,1209,25665,13443,28159,0.7266,21928,6384
666,2014,56,University of Massachusetts-Amherst,Amherst,MA,0.6139,1217,26207,13443,28998,0.7509,22134,6383
667,2015,56,University of Massachusetts-Amherst,Amherst,MA,0.5832,1226,26726,14171,30504,0.7784,22252,22252
668,2016,57,University of Massachusetts-Amherst,Amherst,MA,0.5968,1273,28000,14971,32204,0.7614,22958,6664
669,2008,54,University of Miami,Coral Gables,FL,0.3863,1290,23433,34834,34834,0.7683,10379,4901
670,2009,54,University of Miami,Coral Gables,FL,0.444,1284,49950,36188,36188,0.7953,10422,5259
671,2010,54,University of Miami,Coral Gables,FL,0.3922,1313,51763,37836,37836,0.8025,10370,5289
672,2011,54,University of Miami,Coral Gables,FL,0.3833,1326,53928,39654,39654,0.779,10368,5559
673,2012,54,University of Miami,Coral Gables,FL,0.397,1331,55326,41220,41220,0.8055,10509,5582
674,2013,54,University of Miami,Coral Gables,FL,0.4044,1332,57700,42852,42852,0.8169,10590,5555
675,2014,54,University of Miami,Coral Gables,FL,0.3818,1330,59850,44350,44350,0.8099,11380,5499
676,2015,54,University of Miami,Coral Gables,FL,0.3779,1319,61666,45724,45724,0.8161,11175,11175
677,2016,55,University of Miami,Coral Gables,FL,0.3771,1290,59833,47004,47004,0.8166,10577,5952
678,2008,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.4215,1308,50535,11037,33069,0.8803,26083,15034
679,2009,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.4996,1310,22606,11659,34937,0.894,25994,15466
680,2010,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.5063,1311,23605,11837,36001,0.8966,26208,14897
681,2011,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.406,1343,24065,12634,37782,0.8951,27027,15309
682,2012,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.3655,1346,25112,12994,39122,0.9068,27407,15447
683,2013,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.3326,1352,25760,13142,40392,0.8997,27979,15427
684,2014,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.3224,1380,26143,13486,41906,0.9087,28283,15230
685,2015,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.2628,1384,26850,13856,43476,0.9011,28395,28395
686,2016,11,University of Michigan-Ann Arbor,Ann Arbor,MI,0.2859,1476,27725,14402,45410,0.9117,28761,15735
687,2008,39,University of Minnesota-Twin Cities,Minneapolis,MN,0.5253,1211,21248,10756,14756,0.6567,32294,14918
688,2009,39,University of Minnesota-Twin Cities,Minneapolis,MN,0.5001,1211,20526,11466,15466,0.6824,32557,18423
689,2010,39,University of Minnesota-Twin Cities,Minneapolis,MN,0.4779,1248,21088,12288,16588,0.7014,33236,18114
690,2011,39,University of Minnesota-Twin Cities,Minneapolis,MN,0.4659,1251,22404,13022,18022,0.7023,33607,17745
691,2012,39,University of Minnesota-Twin Cities,Minneapolis,MN,0.4951,1252,23304,13459,18709,0.7294,34812,17384
692,2013,39,University of Minnesota-Twin Cities,Minneapolis,MN,0.4442,1270,24278,13555,19805,0.754,34469,17077
693,2014,39,University of Minnesota-Twin Cities,Minneapolis,MN,0.4535,1271,24551,13560,20810,0.784,34449,16796
694,2015,39,University of Minnesota-Twin Cities,Minneapolis,MN,0.4458,1288,24741,13790,22210,0.772,34351,34351
695,2016,40,University of Minnesota-Twin Cities,Minneapolis,MN,0.4441,1206,25370,14142,23806,0.7838,30974,16709
696,2008,92,University of New Mexico-Main Campus,Albuquerque,NM,0.7093,1037,23570,4834,15708,0.4431,19905,4701
697,2009,92,University of New Mexico-Main Campus,Albuquerque,NM,0.6787,1038,15127,5101,17254,0.431,20047,5909
698,2010,92,University of New Mexico-Main Campus,Albuquerque,NM,0.6157,1041,15048,5506,18691,0.4447,21319,6212
699,2011,92,University of New Mexico-Main Campus,Albuquerque,NM,0.6648,1043,15722,5809,19919,0.4515,22450,6334
700,2012,92,University of New Mexico-Main Campus,Albuquerque,NM,0.6387,1036,16325,6050,20688,0.4582,22722,6260
701,2013,92,University of New Mexico-Main Campus,Albuquerque,NM,0.6458,1038,16822,6846,20688,0.4828,22838,6176
702,2014,92,University of New Mexico-Main Campus,Albuquerque,NM,0.4538,1060,17401,6846,20664,0.4778,22416,6052
703,2015,92,University of New Mexico-Main Campus,Albuquerque,NM,0.5788,1040,17000,7071,21302,0.4803,21792,21792
704,2016,93,University of New Mexico-Main Campus,Albuquerque,NM,0.5778,1189,17443,7340,21929,0.445,19646,5976
705,2008,25,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.3484,1300,52150,5397,22295,0.8567,17628,8275
706,2009,25,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.3396,1305,16194,5625,23513,0.8488,17895,10935
707,2010,25,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.3163,1304,17777,6665,25280,0.8811,17981,10811
708,2011,25,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.3388,1304,20208,7009,26834,0.8898,18579,10707
709,2012,25,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.3297,1305,21251,7693,28445,0.8936,18430,10775
710,2013,25,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.2759,1313,23069,8340,30122,0.9002,18503,10757
711,2014,25,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.285,1328,23978,8336,33418,0.9026,18370,10785
712,2015,25,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.3054,1343,23940,8591,33673,0.9019,18350,18350
713,2016,26,University of North Carolina at Chapel Hill,Chapel Hill,NC,0.2694,1490,24327,8834,33916,0.911,18169,10946
714,2008,50,University of Notre Dame,Notre Dame,IN,0.2673,1426,49708,36850,36850,0.9578,8371,2779
715,2009,50,University of Notre Dame,Notre Dame,IN,0.2865,1433,49027,38477,38477,0.9604,8363,3444
716,2010,50,University of Notre Dame,Notre Dame,IN,0.2877,1430,51297,39919,39919,0.9597,8372,3550
717,2011,50,University of Notre Dame,Notre Dame,IN,0.2429,1448,53239,41417,41417,0.9588,8437,3552
718,2012,50,University of Notre Dame,Notre Dame,IN,0.2328,1438,55257,42971,42971,0.9458,8452,3651
719,2013,50,University of Notre Dame,Notre Dame,IN,0.223,1450,57805,44605,44605,0.9486,8475,3647
720,2014,50,University of Notre Dame,Notre Dame,IN,0.2114,1450,60117,46237,46237,0.9573,8477,3731
721,2015,50,University of Notre Dame,Notre Dame,IN,0.198,1455,62427,47929,47929,0.9655,8448,8448
722,2016,50,University of Notre Dame,Notre Dame,IN,0.1873,1105,64775,49685,49685,0.9509,8496,3863
723,2008,93,University of Oklahoma-Norman Campus,Norman,OK,0.7326,1168,19618,7423,17404,0.6175,19512,6169
724,2009,93,University of Oklahoma-Norman Campus,Norman,OK,0.8875,1180,19255,7483,17464,0.6447,19450,6315
725,2010,93,University of Oklahoma-Norman Campus,Norman,OK,0.8503,1182,19790,7864,18295,0.6446,19566,6697
726,2011,93,University of Oklahoma-Norman Campus,Norman,OK,0.8185,1183,21954,8325,19278,0.6789,19779,6643
727,2012,93,University of Oklahoma-Norman Campus,Norman,OK,0.7914,1182,22467,8706,20343,0.6642,20495,6398
728,2013,93,University of Oklahoma-Norman Campus,Norman,OK,0.8044,1176,23263,8916,21105,0.6629,21109,6307
729,2014,93,University of Oklahoma-Norman Campus,Norman,OK,0.8133,1189,23384,9495,22269,0.6744,20985,6250
730,2015,93,University of Oklahoma-Norman Campus,Norman,OK,0.7764,1204,23906,10090,23476,0.6616,21011,21011
731,2016,94,University of Oklahoma-Norman Campus,Norman,OK,0.7084,1204,25085,10881,25203,0.6751,21082,6309
732,2008,10,University of Pennsylvania,Philadelphia,PA,0.1693,1418,48990,37526,37526,0.952,11877,9867
733,2009,10,University of Pennsylvania,Philadelphia,PA,0.1771,1436,51299,38970,38970,0.9495,11851,12645
734,2010,10,University of Pennsylvania,Philadelphia,PA,0.1426,1435,53250,40514,40514,0.9555,11954,13067
735,2011,10,University of Pennsylvania,Philadelphia,PA,0.1243,1435,55250,42098,42098,0.958,11940,13067
736,2012,10,University of Pennsylvania,Philadelphia,PA,0.126,1439,57360,43738,43738,0.9597,11765,13047
737,2013,10,University of Pennsylvania,Philadelphia,PA,0.1224,1442,59600,45890,45890,0.9569,11678,13105
738,2014,10,University of Pennsylvania,Philadelphia,PA,0.1037,1452,61800,47668,47668,0.9561,11525,13258
739,2015,10,University of Pennsylvania,Philadelphia,PA,0.1016,1457,64200,49536,49536,0.9534,11548,11548
740,2016,10,University of Pennsylvania,Philadelphia,PA,0.0944,1386,66800,51464,51464,0.9526,10698,13244
741,2008,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5558,1241,46521,13642,23290,0.7629,17208,10135
742,2009,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5544,1256,25837,14154,23852,0.7765,17427,10297
743,2010,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5853,1256,26717,14936,24592,0.7836,18031,10452
744,2011,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5777,1262,27864,16132,25540,0.7872,18371,10339
745,2012,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5786,1266,29392,16590,26280,0.7898,18427,10340
746,2013,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5613,1258,30410,17100,27106,0.8044,18429,10034
747,2014,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5312,1275,31828,17772,28168,0.8185,18615,9860
748,2015,36,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5389,1272,32754,18192,28958,0.8165,18757,18757
749,2016,37,University of Pittsburgh-Pittsburgh campus,Pittsburgh,PA,0.5541,1194,32191,18618,29758,0.8137,18920,9541
750,2008,43,University of Rochester,Rochester,NY,0.4115,1314,48217,37250,37250,0.837,5131,3930
751,2009,43,University of Rochester,Rochester,NY,0.3869,1334,50550,38690,38690,0.8029,5378,4497
752,2010,43,University of Rochester,Rochester,NY,0.3797,1336,52690,40282,40282,0.8412,5447,4510
753,2011,43,University of Rochester,Rochester,NY,0.341,1337,54730,41826,41826,0.8309,5601,4647
754,2012,43,University of Rochester,Rochester,NY,0.3532,1340,56760,43666,43666,0.854,5643,4725
755,2013,43,University of Rochester,Rochester,NY,0.3568,1353,59156,45372,45372,0.8518,5785,4843
756,2014,43,University of Rochester,Rochester,NY,0.3641,1450,61340,46960,46960,0.8393,6177,4794
757,2015,43,University of Rochester,Rochester,NY,0.3382,1450,63268,48280,48280,0.882,6266,6266
758,2016,44,University of Rochester,Rochester,NY,0.3553,1408,65364,50142,50142,0.8544,6235,4823
759,2008,97,University of South Florida-Main Campus,Tampa,FL,0.456,1150,23283,3917,16634,0.4809,34898,9792
760,2009,97,University of South Florida-Main Campus,Tampa,FL,0.4244,1151,17671,4577,15386,0.4823,34982,9486
761,2010,97,University of South Florida-Main Campus,Tampa,FL,0.4454,1128,18927,5198,16007,0.5144,30536,9517
762,2011,97,University of South Florida-Main Campus,Tampa,FL,0.3805,1150,19798,5800,14990,0.5171,30914,9621
763,2012,97,University of South Florida-Main Campus,Tampa,FL,0.4321,1168,20590,6334,16257,0.5655,30438,9991
764,2013,97,University of South Florida-Main Campus,Tampa,FL,0.4524,1168,19299,6410,17324,0.6321,31125,10328
765,2014,97,University of South Florida-Main Campus,Tampa,FL,0.5316,1162,19306,6410,17324,0.6719,30264,10871
766,2015,97,University of South Florida-Main Campus,Tampa,FL,0.4464,1177,19578,6410,17324,0.6844,30155,30155
767,2016,98,University of South Florida-Main Campus,Tampa,FL,0.4663,1158,19652,6410,17324,0.6749,30553,11400
768,2008,33,University of Southern California,Los Angeles,CA,0.2194,1367,26275,37693,37693,0.8794,16384,14457
769,2009,33,University of Southern California,Los Angeles,CA,0.244,1360,51740,39183,39183,0.8784,16608,18073
770,2010,33,University of Southern California,Los Angeles,CA,0.2435,1373,53511,41022,41022,0.8888,16751,19516
771,2011,33,University of Southern California,Los Angeles,CA,0.2302,1383,55493,42818,42818,0.9012,17380,20596
772,2012,33,University of Southern California,Los Angeles,CA,0.1993,1377,57772,44463,44463,0.9019,17414,21642
773,2013,33,University of Southern California,Los Angeles,CA,0.1984,1380,59787,46298,46298,0.9117,18316,22923
774,2014,33,University of Southern California,Los Angeles,CA,0.1802,1380,62092,48280,48280,0.9084,18445,23714
775,2015,33,University of Southern California,Los Angeles,CA,0.1768,1391,64536,50277,50277,0.9226,18739,18739
776,2016,34,University of Southern California,Los Angeles,CA,0.1662,1337,67064,52283,52283,0.9203,18557,25077
777,2008,68,University of Utah,Salt Lake City,UT,0.8107,1105,18687,5284,16600,0.5112,21421,5699
778,2009,68,University of Utah,Salt Lake City,UT,0.8008,1109,15899,5746,18136,0.5759,21526,7135
779,2010,68,University of Utah,Salt Lake City,UT,0.8287,1110,17266,6272,19840,0.5638,22149,7448
780,2011,68,University of Utah,Salt Lake City,UT,0.832,1110,16797,6762,21388,0.5533,22241,7363
781,2012,68,University of Utah,Salt Lake City,UT,0.8263,1113,18259,7139,22642,0.5866,24297,7548
782,2013,68,University of Utah,Salt Lake City,UT,0.8174,1109,19048,7457,23736,0.6037,24840,7585
783,2014,68,University of Utah,Salt Lake City,UT,0.8142,1131,18931,7835,25057,0.6221,24492,7608
784,2015,68,University of Utah,Salt Lake City,UT,0.8143,1130,19447,8197,26022,0.6384,23895,23895
785,2016,67,University of Utah,Salt Lake City,UT,0.7642,1268,18444,8518,27039,0.6514,22748,8071
786,2008,99,University of Vermont,Burlington,VT,0.6481,1184,22554,12844,29682,0.7117,10504,1410
787,2009,99,University of Vermont,Burlington,VT,0.709,1185,23570,13554,31410,0.7307,10937,2009
788,2010,99,University of Vermont,Burlington,VT,0.7058,1188,24874,14066,32630,0.766,11382,1961
789,2011,99,University of Vermont,Burlington,VT,0.7538,1191,26274,14784,34424,0.7233,11593,1996
790,2012,99,University of Vermont,Burlington,VT,0.7665,1191,27315,15284,35612,0.7582,11482,1887
791,2013,99,University of Vermont,Burlington,VT,0.7755,1190,27788,15718,36646,0.7582,11211,1811
792,2014,99,University of Vermont,Burlington,VT,0.7344,1191,28348,16226,37874,0.7558,10912,1864
793,2015,99,University of Vermont,Burlington,VT,0.7085,1211,29332,16768,39160,0.7679,10992,10992
794,2016,99,University of Vermont,Burlington,VT,0.6894,1310,30573,17300,40364,0.7423,10267,1946
795,2008,46,University of Virginia-Main Campus,Charlottesville,VA,0.3668,1328,49820,9300,29600,0.9307,15078,7608
796,2009,46,University of Virginia-Main Campus,Charlottesville,VA,0.3206,1332,20488,9872,31872,0.93,15208,8879
797,2010,46,University of Virginia-Main Campus,Charlottesville,VA,0.326,1336,21142,10828,33774,0.9269,15476,8796
798,2011,46,University of Virginia-Main Campus,Charlottesville,VA,0.3327,1347,22535,11786,36780,0.939,15595,8535
799,2012,46,University of Virginia-Main Campus,Charlottesville,VA,0.2955,1355,23986,12216,38228,0.9343,15762,8085
800,2013,46,University of Virginia-Main Campus,Charlottesville,VA,0.2999,1362,25255,12668,40054,0.9307,15822,7377
801,2014,46,University of Virginia-Main Campus,Charlottesville,VA,0.29,1357,26063,13208,42394,0.9416,16087,7249
802,2015,46,University of Virginia-Main Campus,Charlottesville,VA,0.2979,1364,27010,15192,44365,0.933,16483,16483
803,2016,47,University of Virginia-Main Campus,Charlottesville,VA,0.2986,1495,29572,16412,45756,0.9417,15963,7567
804,2008,20,University of Wisconsin-Madison,Madison,WI,0.6283,1266,46175,7564,21814,0.8134,30166,11258
805,2009,20,University of Wisconsin-Madison,Madison,WI,0.5946,1269,18858,8310,23059,0.81,30362,11729
806,2010,20,University of Wisconsin-Madison,Madison,WI,0.665,1268,20064,8983,24233,0.8298,29925,12010
807,2011,20,University of Wisconsin-Madison,Madison,WI,0.6647,1268,21209,9665,25415,0.8195,30170,12066
808,2012,20,University of Wisconsin-Madison,Madison,WI,0.6862,1269,22394,10378,26628,0.818,30014,11968
809,2013,20,University of Wisconsin-Madison,Madison,WI,0.6792,1268,23718,10403,26653,0.8284,30301,11949
810,2014,20,University of Wisconsin-Madison,Madison,WI,0.5694,1286,23839,10410,26660,0.8368,30728,11904
811,2015,20,University of Wisconsin-Madison,Madison,WI,0.5761,1300,24315,10415,29665,0.8495,30694,30694
812,2016,20,University of Wisconsin-Madison,Madison,WI,0.5262,1459,24594,10488,32738,0.8493,29536,11624
813,2008,47,Vanderbilt University,Nashville,TN,0.2533,1408,51740,37005,37005,0.8945,6532,4194
814,2009,47,Vanderbilt University,Nashville,TN,0.2015,1430,52303,38578,38578,0.9067,6637,5712
815,2010,47,Vanderbilt University,Nashville,TN,0.1795,1433,54718,39930,39930,0.9061,6794,5835
816,2011,47,Vanderbilt University,Nashville,TN,0.1642,1454,56634,41332,41332,0.9185,6879,6019
817,2012,47,Vanderbilt University,Nashville,TN,0.1423,1471,58554,42118,42118,0.9219,6817,5914
818,2013,47,Vanderbilt University,Nashville,TN,0.1274,1475,59890,42978,42978,0.9252,6796,5922
819,2014,47,Vanderbilt University,Nashville,TN,0.1309,1481,61112,43838,43838,0.9286,6835,5835
820,2015,47,Vanderbilt University,Nashville,TN,0.1168,1498,62320,44712,44712,0.9198,6851,6851
821,2016,48,Vanderbilt University,Nashville,TN,0.1075,1205,63532,45610,45610,0.9243,6844,5716
822,2008,65,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.6541,1205,24580,8198,20825,0.784,23041,7172
823,2009,65,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.6669,1210,19538,8605,21878,0.7993,23567,7312
824,2010,65,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.6701,1220,22065,9459,23217,0.7977,23558,7316
825,2011,65,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.6655,1210,22459,10509,24480,0.8162,23690,7236
826,2012,65,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.7038,1215,23869,10923,25915,0.8275,23700,7228
827,2013,65,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.7028,1220,25513,11455,27211,0.8243,23859,7171
828,2014,65,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.7263,1215,26165,12017,28048,0.8258,24034,6977
829,2015,65,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.7341,1210,25837,12485,29129,0.8334,24247,24247
830,2016,66,Virginia Polytechnic Institute and State University,Blacksburg,VA,0.7087,1301,24855,12852,29975,0.8377,25725,7379
831,2008,74,Wake Forest University,Winston-Salem,NC,0.3838,1314,50550,36975,36975,0.8799,4412,1344
832,2009,74,Wake Forest University,Winston-Salem,NC,0.3752,1450,49820,38622,38622,0.9024,4476,2510
833,2010,74,Wake Forest University,Winston-Salem,NC,0.4028,1450,52082,39970,39970,0.8873,4569,2505
834,2011,74,Wake Forest University,Winston-Salem,NC,0.3985,1450,54135,41576,41576,0.8815,4657,2576
835,2012,74,Wake Forest University,Winston-Salem,NC,0.3397,1450,56236,43200,43200,0.8749,4775,2617
836,2013,74,Wake Forest University,Winston-Salem,NC,0.352,1450,58173,44742,44742,0.8646,4815,2779
837,2014,74,Wake Forest University,Winston-Salem,NC,0.3441,1450,60210,46200,46200,0.8822,4812,2921
838,2015,74,Wake Forest University,Winston-Salem,NC,0.2939,1370,62502,47682,47682,0.881,4861,4861
839,2016,75,Wake Forest University,Winston-Salem,NC,0.3034,1054,64442,49308,49308,0.8833,4949,3013
840,2008,75,Washington State University,Pullman,WA,0.7221,1105,19307,7564,18600,0.6687,20282,3396
841,2009,75,Washington State University,Pullman,WA,0.7626,1086,20525,8489,19565,0.6907,20690,4375
842,2010,75,Washington State University,Pullman,WA,0.6953,1086,22297,9489,20531,0.6895,21726,4491
843,2011,75,Washington State University,Pullman,WA,0.8354,1066,23611,10799,22077,0.6676,21816,4566
844,2012,75,Washington State University,Pullman,WA,0.7601,1050,24939,12300,25382,0.673,22763,4544
845,2013,75,Washington State University,Pullman,WA,0.8208,1030,26292,12327,25409,0.6548,23135,4572
846,2014,75,Washington State University,Pullman,WA,0.8208,1030,26543,12428,25510,0.6724,23070,4819
847,2015,75,Washington State University,Pullman,WA,0.7964,1039,27402,11967,25567,0.6419,23867,23867
848,2016,76,Washington State University,Pullman,WA,0.7204,1229,26441,11041,25673,0.6658,24362,5238
849,2008,30,Washington University in St Louis,Saint Louis,MO,0.217,1453,52303,37248,37248,0.9368,7253,5051
850,2009,30,Washington University in St Louis,Saint Louis,MO,0.2219,1462,52464,38728,38728,0.9325,6985,6529
851,2010,30,Washington University in St Louis,Saint Louis,MO,0.2129,1465,54533,40369,40369,0.9401,7046,6682
852,2011,30,Washington University in St Louis,Saint Louis,MO,0.1652,1467,56930,41992,41992,0.9344,7138,6669
853,2012,30,Washington University in St Louis,Saint Louis,MO,0.1788,1478,58901,43705,43705,0.9402,7239,6693
854,2013,30,Washington University in St Louis,Saint Louis,MO,0.1555,1474,62594,44841,44841,0.9404,7259,6696
855,2014,30,Washington University in St Louis,Saint Louis,MO,0.1713,1478,63755,46467,46467,0.9496,7336,6947
856,2015,30,Washington University in St Louis,Saint Louis,MO,0.1674,1469,65887,48093,48093,0.9264,7401,7401
857,2016,31,Washington University in St Louis,Saint Louis,MO,0.1653,1228,67751,49770,49770,0.9401,7116,7492
858,2008,85,Wayne State University,Detroit,MI,0.7893,950,16228,8109,17379,0.3357,21145,8733
859,2009,85,Wayne State University,Detroit,MI,0.7893,950,16228,8643,18412,0.3169,20122,11021
860,2010,85,Wayne State University,Detroit,MI,0.8638,970,16949,9026,19226,0.3093,20765,10668
861,2011,85,Wayne State University,Detroit,MI,0.7552,1010,17388,9809,20921,0.2635,20837,10176
862,2012,85,Wayne State University,Detroit,MI,0.8054,1030,19411,10190,21735,0.2813,19877,9596
863,2013,85,Wayne State University,Detroit,MI,0.7624,1050,20199,11094,23714,0.3235,19342,9295
864,2014,85,Wayne State University,Detroit,MI,0.7733,1070,21021,11449,24472,0.3431,18602,9231
865,2015,85,Wayne State University,Detroit,MI,0.7987,1070,21588,11814,25254,0.3461,18347,18347
866,2016,85,Wayne State University,Detroit,MI,0.8146,1159,22276,12269,26220,0.3917,16671,10018
867,2008,8,Yale University,New Haven,CT,0.0989,1481,51400,35300,35300,0.9738,5311,4915
868,2009,8,Yale University,New Haven,CT,0.0856,1475,51400,36500,36500,0.9793,5277,6318
869,2010,8,Yale University,New Haven,CT,0.0753,1473,52950,38300,38300,0.9632,5275,6391
870,2011,8,Yale University,New Haven,CT,0.0788,1497,55300,40500,40500,0.9659,5310,6526
871,2012,8,Yale University,New Haven,CT,0.0773,1488,58250,42300,42300,0.9619,5349,6501
872,2013,8,Yale University,New Haven,CT,0.0705,1497,59320,44000,44000,0.9779,5405,6679
873,2014,8,Yale University,New Haven,CT,0.063,1493,61620,45800,45800,0.962,5430,6859
874,2015,8,Yale University,New Haven,CT,0.0673,1498,63970,47600,47600,0.9678,5477,5477
875,2016,8,Yale University,New Haven,CT,0.0632,1496,66445,49480,49480,0.9777,5471,6986
876,2008,60,Yeshiva University,New York,NY,0.6651,1202,19538,32094,32094,0.8253,3017,1423
877,2009,60,Yeshiva University,New York,NY,0.626,1194,46175,32094,32094,0.7781,3061,3375
878,2010,60,Yeshiva University,New York,NY,0.7171,1209,46799,33050,33050,0.8249,2855,3612
879,2011,60,Yeshiva University,New York,NY,0.6936,1213,48435,35200,35200,0.8418,2848,3777
880,2012,60,Yeshiva University,New York,NY,0.8402,1202,50330,36500,36500,0.8403,2805,3878
881,2013,60,Yeshiva University,New York,NY,0.8216,1217,53825,37600,37600,0.8519,2835,3860
882,2014,60,Yeshiva University,New York,NY,0.818,1221,55075,38730,38730,0.8547,2858,3534
883,2015,60,Yeshiva University,New York,NY,0.8049,1229,56555,39530,39530,0.879,2786,2786
884,2016,61,Yeshiva University,New York,NY,0.5075,1181,57355,40670,40670,0.8177,2679,3454
